Cod_ibge_M,Municipio,Cod_RA,Regiao_Administrativa,Regiao_Metropolitana,Cod_ibge_2,Populacao,Porte_populacao_2020,Latitude,Longitude
3507209,Borá,692,RA de Marília,Demais municípios,350720,812,Até 5 mil,-22.244,-50.501
3532868,Nova Castilho,690,RA de Araçatuba,Demais municípios,353286,1.176,Até 5 mil,-20.777,-50.345
3555901,Uru,688,RA de Bauru,Demais municípios,355590,1.207,Até 5 mil,-21.766,-49.297
3547650,Santa Salete,689,RA de São José do Rio Preto,Demais municípios,354765,1.440,Até 5 mil,-20.258,-50.719
3547205,Santana da Ponte Pensa,689,RA de São José do Rio Preto,Demais municípios,354720,1.509,Até 5 mil,-20.26,-50.797
3515806,Flora Rica,691,RA de Presidente Prudente,Demais municípios,351580,1.589,Até 5 mil,-21.698,-51.374
3515657,Fernão,692,RA de Marília,Demais municípios,351565,1.649,Até 5 mil,-22.365,-49.542
3554755,Trabiju,693,RA Central,Demais municípios,355475,1.703,Até 5 mil,-22.031,-48.345
3513850,Dirce Reis,689,RA de São José do Rio Preto,Demais municípios,351385,1.717,Até 5 mil,-20.448,-50.628
3555703,União Paulista,689,RA de São José do Rio Preto,Demais municípios,355570,1.739,Até 5 mil,-20.89,-49.887
3556958,Vitória Brasil,689,RA de São José do Rio Preto,Demais municípios,355695,1.760,Até 5 mil,-20.198,-50.485
3503950,Aspásia,689,RA de São José do Rio Preto,Demais municípios,350395,1.765,Até 5 mil,-20.183,-50.728
3536570,Paulistânia,688,RA de Bauru,Demais municípios,353657,1.769,Até 5 mil,-22.568,-49.305
3555307,Turmalina,689,RA de São José do Rio Preto,Demais municípios,355530,1.805,Até 5 mil,-20.083,-50.456
3503356,Arco Íris,692,RA de Marília,Demais municípios,350335,1.816,Até 5 mil,-21.766,-50.431
3549250,São João de Iracema,690,RA de Araçatuba,Demais municípios,354925,1.850,Até 5 mil,-20.52,-50.356
3529658,Mesópolis,689,RA de São José do Rio Preto,Demais municípios,352965,1.893,Até 5 mil,-19.957,-50.615
3555208,Turiúba,690,RA de Araçatuba,Demais municípios,355520,1.912,Até 5 mil,-20.94,-50.111
3518008,Guarani d'Oeste,689,RA de São José do Rio Preto,Demais municípios,351800,1.922,Até 5 mil,-20.066,-50.344
3532843,Nova Canaã Paulista,689,RA de São José do Rio Preto,Demais municípios,353284,1.937,Até 5 mil,-20.371,-50.91
3549300,São João do Pau d'Alho,691,RA de Presidente Prudente,Demais municípios,354930,1.985,Até 5 mil,-21.223,-51.672
3546108,Santa Clara d'Oeste,689,RA de São José do Rio Preto,Demais municípios,354610,2.006,Até 5 mil,-20.067,-50.908
3514205,Dolcinópolis,689,RA de São José do Rio Preto,Demais municípios,351420,2.040,Até 5 mil,-20.117,-50.528
3536257,Parisi,689,RA de São José do Rio Preto,Demais municípios,353625,2.054,Até 5 mil,-20.271,-50.037
3529104,Marinópolis,689,RA de São José do Rio Preto,Demais municípios,352910,2.097,Até 5 mil,-20.479,-50.832
3513306,Cruzália,692,RA de Marília,Demais municípios,351330,2.117,Até 5 mil,-22.737,-50.769
3543238,Ribeirão dos Índios,691,RA de Presidente Prudente,Demais municípios,354323,2.141,Até 5 mil,-21.784,-51.583
3531001,Monções,689,RA de São José do Rio Preto,Demais municípios,353100,2.175,Até 5 mil,-20.862,-50.079
3527256,Lourdes,690,RA de Araçatuba,Demais municípios,352725,2.182,Até 5 mil,-20.948,-50.234
3533106,Nova Guataporanga,691,RA de Presidente Prudente,Demais municípios,353310,2.191,Até 5 mil,-21.322,-51.645
3527504,Lucianópolis,688,RA de Bauru,Demais municípios,352750,2.261,Até 5 mil,-22.473,-49.55
3554656,Torre de Pedra,685,RA de Sorocaba,Demais municípios,355465,2.320,Até 5 mil,-23.249,-48.212
3544707,Sagres,691,RA de Presidente Prudente,Demais municípios,354470,2.362,Até 5 mil,-21.867,-50.99
3547403,Santa Rita d'Oeste,689,RA de São José do Rio Preto,Demais municípios,354740,2.404,Até 5 mil,-20.096,-50.813
3514957,Embaúba,694,RA de Barretos,Demais municípios,351495,2.409,Até 5 mil,-20.952,-48.847
3536901,Pedranópolis,689,RA de São José do Rio Preto,Demais municípios,353690,2.422,Até 5 mil,-20.209,-50.107
3549201,São João das Duas Pontes,689,RA de São José do Rio Preto,Demais municípios,354920,2.476,Até 5 mil,-20.408,-50.383
3534500,Oscar Bressane,692,RA de Marília,Demais municípios,353450,2.514,Até 5 mil,-22.295,-50.257
3533809,Óleo,692,RA de Marília,Demais municípios,353380,2.527,Até 5 mil,-22.953,-49.383
3540309,Pontes Gestal,689,RA de São José do Rio Preto,Demais municípios,354030,2.528,Até 5 mil,-20.174,-49.757
3554607,Timburi,692,RA de Marília,Demais municípios,355460,2.557,Até 5 mil,-23.195,-49.61
3557154,Zacarias,689,RA de São José do Rio Preto,Demais municípios,355715,2.560,Até 5 mil,-21.125,-50.049
3507456,Borebi,688,RA de Bauru,Demais municípios,350745,2.579,Até 5 mil,-22.68,-48.992
3527900,Lutécia,692,RA de Marília,Demais municípios,352790,2.621,Até 5 mil,-22.325,-50.385
3515301,Estrela do Norte,691,RA de Presidente Prudente,Demais municípios,351530,2.665,Até 5 mil,-22.484,-51.669
3510104,Cândido Rodrigues,693,RA Central,Demais municípios,351010,2.674,Até 5 mil,-21.342,-48.628
3549003,São Francisco,689,RA de São José do Rio Preto,Demais municípios,354900,2.677,Até 5 mil,-20.365,-50.675
3516507,Gabriel Monteiro,690,RA de Araçatuba,Demais municípios,351650,2.684,Até 5 mil,-21.499,-50.564
3516101,Florínia,692,RA de Marília,Demais municípios,351610,2.703,Até 5 mil,-22.881,-50.695
3507753,Brejo Alegre,690,RA de Araçatuba,Demais municípios,350775,2.768,Até 5 mil,-21.176,-50.209
3547106,Santa Mercedes,691,RA de Presidente Prudente,Demais municípios,354710,2.813,Até 5 mil,-21.316,-51.736
3515905,Floreal,689,RA de São José do Rio Preto,Demais municípios,351590,2.856,Até 5 mil,-20.669,-50.154
3528858,Marapoama,689,RA de São José do Rio Preto,Demais municípios,352885,2.906,Até 5 mil,-21.254,-49.137
3540853,Pracinha,691,RA de Presidente Prudente,Demais municípios,354085,2.913,Até 5 mil,-21.837,-51.075
3530003,Mira Estrela,689,RA de São José do Rio Preto,Demais municípios,353000,2.939,Até 5 mil,-19.951,-50.124
3506201,Bento de Abreu,690,RA de Araçatuba,Demais municípios,350620,2.945,Até 5 mil,-21.331,-50.861
3548302,Santo Expedito,691,RA de Presidente Prudente,Demais municípios,354830,2.972,Até 5 mil,-21.824,-51.37
3544509,Rubinéia,689,RA de São José do Rio Preto,Demais municípios,354450,2.989,Até 5 mil,-20.253,-51.016
3537156,Pedrinhas Paulista,692,RA de Marília,Demais municípios,353715,3.010,Até 5 mil,-22.816,-50.802
3515129,Emilianópolis,691,RA de Presidente Prudente,Demais municípios,351512,3.068,Até 5 mil,-21.8,-51.472
3532157,Nantes,691,RA de Presidente Prudente,Demais municípios,353215,3.071,Até 5 mil,-22.596,-51.201
3528304,Magda,689,RA de São José do Rio Preto,Demais municípios,352830,3.088,Até 5 mil,-20.596,-50.23
3544400,Rubiácea,690,RA de Araçatuba,Demais municípios,354440,3.106,Até 5 mil,-21.36,-50.785
3500600,Águas de São Pedro,686,RA de Campinas,Demais municípios,350060,3.122,Até 5 mil,-22.598,-47.876
3525409,Jeriquara,695,RA de Franca,Demais municípios,352540,3.141,Até 5 mil,-20.339,-47.574
3501509,Alvinlândia,692,RA de Marília,Demais municípios,350150,3.176,Até 5 mil,-22.452,-49.758
3522158,Itaóca,696,RA de Itapeva,Demais municípios,352215,3.186,Até 5 mil,-24.617,-48.839
3542800,Ribeira,696,RA de Itapeva,Demais municípios,354280,3.242,Até 5 mil,-24.607,-49.036
3541802,Queiroz,692,RA de Marília,Demais municípios,354180,3.279,Até 5 mil,-21.8,-50.244
