latitude;longitude;nome;municipio;UF;pop_max
-16,75;-49,43;ABADIA DE GOIAS - GO;ABADIA DE GOIAS;GO;19 128
-18,48;-47,4;ABADIA DOS DOURADOS - MG;ABADIA DOS DOURADOS;MG;6 272
-16,2;-48,7;ABADIANIA - GO;ABADIANIA;GO;17 232
-19,16;-45,44;ABAETE - MG;ABAETE;MG;22 675
-1,71;-48,88;ABAETETUBA - PA;ABAETETUBA;PA;158 188
-7,35;-39,04;ABAIARA - CE;ABAIARA;CE;10 038
-13,25;-41,66;ABAIRA - BA;ABAIRA;BA;7 301
-8,72;-39,11;ABARE - BA;ABARE;BA;17 639
-23,3;-50,31;ABATIA - PR;ABATIA;PR;7 241
-27,61;-51,02;ABDON BATISTA - SC;ABDON BATISTA;SC;2 598
-4,95;-48,39;ABEL FIGUEIREDO - PA;ABEL FIGUEIREDO;PA;6 136
-26,56;-52,32;ABELARDO LUZ - SC;ABELARDO LUZ;SC;17 392
-20,3;-42,47;ABRE CAMPO - MG;ABRE CAMPO;MG;13 927
-7,91;-34,9;ABREU E LIMA - PE;ABREU E LIMA;PE;98 462
-9,62;-49,15;ABREULANDIA - TO;ABREULANDIA;TO;2 576
-20,36;-43,14;ACAIACA - MG;ACAIACA;MG;3 909
-4,94;-47,5;ACAILANDIA - MA;ACAILANDIA;MA;106 550
-11,66;-38,01;ACAJUTIBA - BA;ACAJUTIBA;BA;13 795
-1,96;-48,19;ACARA - PA;ACARA;PA;59 023
-4,22;-38,7;ACARAPE - CE;ACARAPE;CE;14 027
-2,88;-40,12;ACARAU - CE;ACARAU;CE;65 264
-6,43;-36,63;ACARI - RN;ACARI;RN;10 597
-8,21;-41,08;ACAUA - PI;ACAUA;PI;6 420
-6,09;-39,45;ACOPIARA - CE;ACOPIARA;CE;4 170
-15,2;-56,36;ACORIZAL - MT;ACORIZAL;MT;44 962
-9,82;-66,88;ACRELANDIA - AC;ACRELANDIA;AC;5 014
-17,39;-50,37;ACREUNA - GO;ACREUNA;GO;14 021
-5,57;-36,9;ACU - RN;ACU;RN;21 568
-19,07;-42,54;ACUCENA - MG;ACUCENA;MG;8 943
-21,68;-51,07;ADAMANTINA - SP;ADAMANTINA;SP;34 687
-16,41;-50,16;ADELANDIA - GO;ADELANDIA;GO;2 297
-21,23;-49,64;ADOLFO - SP;ADOLFO;SP;4 351
-24,65;-48,99;ADRIANOPOLIS - PR;ADRIANOPOLIS;PR;6 256
-10,53;-38,1;ADUSTINA - BA;ADUSTINA;BA;14 201
-7,75;-37,63;AFOGADOS DA INGAZEIRA - PE;AFOGADOS DA INGAZEIRA;PE;40 241
-5,49;-36,5;AFONSO BEZERRA - RN;AFONSO BEZERRA;RN;10 839
-20,07;-41,12;AFONSO CLAUDIO - ES;AFONSO CLAUDIO;ES;30 684
-4,13;-43,32;AFONSO CUNHA - MA;AFONSO CUNHA;MA;6 144
-8,51;-41;AFRANIO - PE;AFRANIO;PE;18 674
-0,15;-50,38;AFUA - PA;AFUA;PA;37 765
-8,45;-35,94;AGRESTINA - PE;AGRESTINA;PE;23 779
-5,79;-42,66;AGRICOLANDIA - PI;AGRICOLANDIA;PI;4 940
-27,41;-49,82;AGROLANDIA - SC;AGROLANDIA;SC;10 990
-27,26;-49,71;AGRONOMICA - SC;AGRONOMICA;SC;6 055
-6,79;-50,46;AGUA AZUL DO NORTE - PA;AGUA AZUL DO NORTE;PA;18 080
-17,99;-42,38;AGUA BOA - MG;AGUA BOA;MG;29 219
-14,05;-52,15;AGUA BOA - MT;AGUA BOA;MT;12 589
-9,26;-37,93;AGUA BRANCA - AL;AGUA BRANCA;AL;19 008
-7,51;-37,64;AGUA BRANCA - PB;AGUA BRANCA;PB;17 573
-5,89;-42,63;AGUA BRANCA - PI;AGUA BRANCA;PI;9 335
-20,44;-52,87;AGUA CLARA - MS;AGUA CLARA;MS;16 741
-20,05;-48,1;AGUA COMPRIDA - MG;AGUA COMPRIDA;MG;2 108
-26,99;-51,55;AGUA DOCE - SC;AGUA DOCE;SC;6 508
