Cod_ibge_M,Municipio,Cod_RA,Regiao_Administrativa,Regiao_Metropolitana,Cod_ibge_2,Populacao,Porte_populacao_2020,Latitude,Longitude
3507209,Bora,692,RA de Marilia,Demais municipios,350720,812,Ate 5 mil,-22.244,-50.501
3532868,Nova Castilho,690,RA de Aracatuba,Demais municipios,353286,1.176,Ate 5 mil,-20.777,-50.345
3555901,Uru,688,RA de Bauru,Demais municipios,355590,1.207,Ate 5 mil,-21.766,-49.297
3547650,Santa Salete,689,RA de Sao Jose do Rio Preto,Demais municipios,354765,1.440,Ate 5 mil,-20.258,-50.719
3547205,Santana da Ponte Pensa,689,RA de Sao Jose do Rio Preto,Demais municipios,354720,1.509,Ate 5 mil,-20.26,-50.797
3515806,Flora Rica,691,RA de Presidente Prudente,Demais municipios,351580,1.589,Ate 5 mil,-21.698,-51.374
3515657,Fernao,692,RA de Marilia,Demais municipios,351565,1.649,Ate 5 mil,-22.365,-49.542
3554755,Trabiju,693,RA Central,Demais municipios,355475,1.703,Ate 5 mil,-22.031,-48.345
3513850,Dirce Reis,689,RA de Sao Jose do Rio Preto,Demais municipios,351385,1.717,Ate 5 mil,-20.448,-50.628
3555703,Uniao Paulista,689,RA de Sao Jose do Rio Preto,Demais municipios,355570,1.739,Ate 5 mil,-20.89,-49.887
3556958,Vitoria Brasil,689,RA de Sao Jose do Rio Preto,Demais municipios,355695,1.760,Ate 5 mil,-20.198,-50.485
3503950,Aspasia,689,RA de Sao Jose do Rio Preto,Demais municipios,350395,1.765,Ate 5 mil,-20.183,-50.728
3536570,Paulistƒnia,688,RA de Bauru,Demais municipios,353657,1.769,Ate 5 mil,-22.568,-49.305
3555307,Turmalina,689,RA de Sao Jose do Rio Preto,Demais municipios,355530,1.805,Ate 5 mil,-20.083,-50.456
3503356,Arco iris,692,RA de Marilia,Demais municipios,350335,1.816,Ate 5 mil,-21.766,-50.431
3549250,Sao Joao de Iracema,690,RA de Aracatuba,Demais municipios,354925,1.850,Ate 5 mil,-20.52,-50.356
3529658,Mesopolis,689,RA de Sao Jose do Rio Preto,Demais municipios,352965,1.893,Ate 5 mil,-19.957,-50.615
3555208,Turi£ba,690,RA de Aracatuba,Demais municipios,355520,1.912,Ate 5 mil,-20.94,-50.111
3518008,Guarani d Oeste,689,RA de Sao Jose do Rio Preto,Demais municipios,351800,1.922,Ate 5 mil,-20.066,-50.344
3532843,Nova Canaa Paulista,689,RA de Sao Jose do Rio Preto,Demais municipios,353284,1.937,Ate 5 mil,-20.371,-50.91
3549300,Sao Joao do Pau d Alho,691,RA de Presidente Prudente,Demais municipios,354930,1.985,Ate 5 mil,-21.223,-51.672
3546108,Santa Clara d Oeste,689,RA de Sao Jose do Rio Preto,Demais municipios,354610,2.006,Ate 5 mil,-20.067,-50.908
3514205,Dolcinopolis,689,RA de Sao Jose do Rio Preto,Demais municipios,351420,2.040,Ate 5 mil,-20.117,-50.528
3536257,Parisi,689,RA de Sao Jose do Rio Preto,Demais municipios,353625,2.054,Ate 5 mil,-20.271,-50.037
3529104,Marinopolis,689,RA de Sao Jose do Rio Preto,Demais municipios,352910,2.097,Ate 5 mil,-20.479,-50.832
3513306,Cruzalia,692,RA de Marilia,Demais municipios,351330,2.117,Ate 5 mil,-22.737,-50.769
3543238,Ribeirao dos indios,691,RA de Presidente Prudente,Demais municipios,354323,2.141,Ate 5 mil,-21.784,-51.583
3531001,Moncäes,689,RA de Sao Jose do Rio Preto,Demais municipios,353100,2.175,Ate 5 mil,-20.862,-50.079
3527256,Lourdes,690,RA de Aracatuba,Demais municipios,352725,2.182,Ate 5 mil,-20.948,-50.234
3533106,Nova Guataporanga,691,RA de Presidente Prudente,Demais municipios,353310,2.191,Ate 5 mil,-21.322,-51.645
3527504,Lucianopolis,688,RA de Bauru,Demais municipios,352750,2.261,Ate 5 mil,-22.473,-49.55
3554656,Torre de Pedra,685,RA de Sorocaba,Demais municipios,355465,2.320,Ate 5 mil,-23.249,-48.212
3544707,Sagres,691,RA de Presidente Prudente,Demais municipios,354470,2.362,Ate 5 mil,-21.867,-50.99
3547403,Santa Rita d Oeste,689,RA de Sao Jose do Rio Preto,Demais municipios,354740,2.404,Ate 5 mil,-20.096,-50.813
3514957,Emba£ba,694,RA de Barretos,Demais municipios,351495,2.409,Ate 5 mil,-20.952,-48.847
3536901,Pedranopolis,689,RA de Sao Jose do Rio Preto,Demais municipios,353690,2.422,Ate 5 mil,-20.209,-50.107
3549201,Sao Joao das Duas Pontes,689,RA de Sao Jose do Rio Preto,Demais municipios,354920,2.476,Ate 5 mil,-20.408,-50.383
